CommitID,Payment,Ordering,Webhooks,Basket,Identity,Catalog,Marketing,
44d3fcf7,Y,Y,Y,Y,Y,Y,Y,
3a1aff01,Y,Y,Y,Y,Y,Y,Y,
593be81b,Y,Y,Y,Y,Y,Y,Y,
ade6358e,Y,Y,Y,Y,Y,Y,Y,
dcd0f3fb,N,Y,N,N,N,Y,N,
0c14810a,N,Y,Y,N,Y,N,Y,
c3f71786,N,Y,N,N,N,Y,Y,
866e89ca,N,Y,Y,Y,Y,Y,N,
a1f64f9b,Y,Y,N,Y,N,Y,Y,
5013ff40,Y,Y,Y,Y,Y,Y,Y,
b34b8d24,Y,Y,Y,Y,Y,Y,Y,
9bbb37ae,Y,Y,Y,Y,Y,Y,Y,
34a0c034,Y,Y,Y,Y,Y,Y,Y,
9b57122f,Y,Y,Y,Y,Y,Y,Y,
a2053deb,Y,Y,Y,Y,Y,Y,Y,
791e7d64,N,Y,N,Y,N,N,N,
ffe2884d,Y,Y,N,Y,N,Y,Y,
87036386,Y,Y,Y,Y,Y,Y,Y,
038b3caf,Y,Y,Y,Y,Y,Y,Y,
bdcab37c,Y,Y,N,N,N,N,N,
bf85169d,N,Y,N,Y,N,N,N,
033ebd35,Y,Y,Y,Y,Y,Y,Y,
216463f8,N,Y,Y,Y,N,Y,N,
56f3a6b8,N,Y,Y,N,N,Y,N,
671d8b1e,N,Y,Y,Y,Y,Y,Y,
0a0b013b,N,Y,Y,N,N,Y,N,
e10fbfd6,N,Y,N,N,N,Y,N,
8b0ec903,N,N,N,Y,N,Y,Y,
bacf3029,N,N,N,Y,Y,N,N,
50a1e131,Y,Y,Y,Y,Y,Y,Y,
eb080668,N,Y,Y,Y,Y,N,Y,
79405b89,Y,Y,Y,Y,Y,Y,Y,
fe93901f,N,N,N,N,Y,Y,N,
756142db,Y,Y,N,Y,Y,Y,Y,
31f77cb7,Y,Y,Y,N,N,N,Y,
5b5b0d1b,N,Y,N,N,N,N,Y,
1e490848,N,Y,N,N,N,N,N,
66bee875,N,N,N,Y,N,Y,Y,
577aca1d,Y,Y,Y,Y,Y,Y,Y,
96c3b127,N,Y,N,Y,N,Y,Y,
437bdd74,Y,Y,Y,Y,Y,Y,Y,
58f156f4,Y,Y,Y,Y,Y,Y,Y,
91515e7e,N,Y,Y,Y,N,N,Y,
61ecfba0,Y,Y,N,N,N,Y,N,
914e8bd0,Y,Y,Y,Y,Y,Y,Y,
3ef07a58,N,N,N,Y,N,Y,Y,
06018d40,Y,Y,Y,Y,Y,Y,Y,
be75d554,Y,Y,Y,Y,Y,Y,Y,
493df257,N,Y,N,Y,N,Y,Y,
e987dcfb,N,N,N,Y,N,Y,N,
396d33fe,Y,Y,Y,Y,N,Y,Y,
e809029e,Y,Y,Y,Y,Y,Y,Y,
0706c724,Y,Y,N,Y,Y,Y,Y,
905f8552,Y,Y,N,Y,Y,Y,Y,
65b7b31d,Y,Y,Y,Y,Y,Y,Y,
06e07914,Y,Y,N,Y,Y,Y,Y,
1f762a6b,N,N,N,Y,Y,Y,Y,
76e1072d,N,Y,N,Y,N,N,N,
2717659a,N,Y,N,Y,N,N,N,
e98c625f,Y,Y,Y,Y,Y,Y,Y,
b6b0744c,Y,Y,N,Y,Y,Y,Y,
38a86f19,Y,Y,N,Y,Y,Y,Y,
185a5dcc,Y,Y,Y,Y,Y,Y,Y,
e310a525,N,N,N,Y,N,Y,N,
7dbab01b,N,Y,N,Y,N,Y,N,
63a325e9,N,Y,N,N,Y,Y,Y,
dfc680e1,Y,Y,N,Y,N,Y,Y,
405e5be6,Y,Y,N,Y,N,Y,N,
12148c97,Y,Y,N,Y,N,Y,Y,
2158938d,Y,Y,N,Y,N,Y,Y,
122fab51,Y,Y,N,Y,N,Y,Y,
82033055,N,Y,N,Y,Y,Y,N,
5b237b0a,N,N,Y,N,N,Y,N,
423066a8,N,Y,N,Y,N,Y,N,
b9839d15,N,Y,N,Y,N,N,N,
24b660f3,N,N,N,Y,N,Y,N,
3a22e2f3,N,N,N,Y,N,Y,N,
586c6de0,N,N,Y,N,Y,N,N,
8677b8d2,N,N,Y,N,Y,Y,N,
873d70a6,N,Y,N,Y,N,Y,Y,
dbf175f9,Y,Y,N,Y,Y,Y,Y,
fa0b1a7a,Y,Y,N,Y,Y,Y,Y,
ffca2da0,Y,Y,N,Y,Y,Y,Y,
82bda5cd,Y,Y,N,N,Y,N,N,
0f6f4e6d,Y,Y,N,Y,Y,Y,Y,
73412e26,N,Y,N,Y,N,Y,N,
8cdfbfb9,Y,Y,N,Y,Y,Y,Y,
b8969e67,N,Y,N,Y,N,Y,Y,
deb3d38e,N,Y,N,Y,Y,Y,Y,
9775219a,Y,Y,N,Y,Y,Y,Y,
e3f8ac6e,N,Y,N,N,N,Y,N,
24bed0aa,N,Y,N,N,N,Y,N,
1fdcc5cc,N,Y,N,Y,N,N,N,
349d5ea3,N,Y,N,Y,Y,Y,Y,
a0647953,N,Y,N,N,Y,N,N,
1b89edec,N,N,N,N,Y,Y,N,
91d06af3,N,Y,N,Y,Y,Y,N,
b005b63f,N,Y,N,Y,Y,Y,Y,
d7d4dd4b,N,Y,N,Y,N,N,N,
afca2308,N,Y,N,Y,N,Y,Y,
51236fd5,Y,Y,N,Y,Y,Y,Y,
89fb5d6f,N,Y,N,N,N,N,N,
684aa492,Y,Y,N,Y,Y,Y,Y,
36fb20ac,N,Y,N,N,N,Y,N,
b02c1b82,Y,Y,N,Y,Y,Y,Y,
d1b6bc84,Y,Y,N,Y,Y,Y,Y,
25c752c6,N,Y,N,N,N,N,N,
04560ff4,N,Y,N,N,Y,N,N,
02f94eeb,Y,Y,N,Y,Y,Y,Y,
f1f17798,N,Y,N,Y,Y,N,N,
b78daa46,Y,Y,N,Y,Y,Y,Y,
c17ecfa1,Y,Y,N,Y,Y,Y,Y,
039632be,Y,Y,N,Y,Y,Y,Y,
c1db0703,Y,Y,N,Y,Y,Y,Y,
ccad3546,Y,Y,N,Y,Y,Y,Y,
954d8718,N,Y,N,N,Y,N,N,
6cc87fc8,N,N,N,Y,Y,N,N,
0be655d2,N,N,N,Y,Y,N,N,
8edd7361,N,N,N,Y,N,Y,N,
b0d4ae5a,N,Y,N,Y,N,Y,N,
2a81a080,N,N,N,Y,N,Y,N,
1c6431d5,N,N,N,Y,N,Y,N,
2451ab9d,N,Y,N,N,Y,Y,Y,
dcb9b873,N,N,N,Y,Y,N,N,
47a33ddd,N,N,N,Y,N,Y,Y,
23bdd59b,Y,Y,N,Y,Y,Y,Y,
02f5e115,Y,N,N,Y,Y,N,N,
9371eb10,Y,Y,N,Y,Y,Y,Y,
