CommitID,currencyservice,paymentservice,adservice,checkoutservice,shippingservice,productcatalogservice,recommendationservice,emailservice,cartservice,
04b20847,N,N,N,N,N,N,Y,Y,N,
4681320f,N,N,N,N,N,N,Y,Y,N,
bb41c7fe,Y,Y,N,N,N,N,N,N,N,
754d22a0,N,N,N,Y,Y,Y,N,N,N,
1c057fcb,N,N,Y,Y,Y,Y,N,N,N,
55f50615,Y,Y,N,N,Y,Y,N,N,N,
86fb1662,N,N,N,N,N,N,Y,Y,N,
57b316c0,N,N,N,Y,Y,Y,N,N,N,
54f0a8d0,N,N,N,N,Y,Y,N,N,N,
5272a4d8,N,N,N,N,N,N,Y,Y,N,
d69f1a4f,N,N,Y,Y,Y,Y,N,N,N,
9b055cab,N,N,N,N,N,N,Y,Y,N,
3b6d3864,Y,Y,Y,Y,Y,Y,Y,Y,Y,
7f40378e,Y,Y,N,N,N,N,Y,Y,N,
dc7effd6,Y,Y,Y,Y,Y,Y,N,N,Y,
86c8c06c,N,N,Y,N,N,Y,N,N,N,
6460427b,N,N,N,Y,Y,Y,N,N,N,
1bab006a,N,N,N,Y,Y,Y,N,N,N,
6c37a96f,Y,Y,N,N,N,N,N,N,N,
880ee16b,N,N,N,N,N,N,Y,Y,N,
fc6df2da,N,N,N,Y,Y,Y,N,N,N,
7f2ecfea,N,N,N,Y,Y,Y,N,N,N,
427f13fc,N,N,N,Y,Y,Y,N,N,Y,
4572974c,N,Y,N,Y,Y,N,N,N,N,
3493cc1c,N,N,N,N,Y,Y,Y,N,Y,
d0128060,Y,Y,N,Y,N,N,N,Y,Y,
05381b36,N,N,N,N,N,N,N,Y,Y,
b943dda1,N,N,N,Y,Y,Y,N,N,N,
3ac12b86,N,N,N,Y,Y,Y,N,N,N,
bfb740c0,Y,Y,N,N,N,N,N,N,N,
5bb1a3f4,N,N,N,Y,Y,Y,N,N,N,
e4664c22,N,N,N,Y,Y,Y,Y,N,N,
99ce1f84,Y,Y,N,Y,Y,Y,Y,N,N,
a3740aa7,N,N,N,N,Y,Y,N,N,N,
d08a58cc,N,N,N,Y,Y,Y,N,N,N,
d01f5254,N,N,N,N,Y,Y,N,N,N,
89618dbe,N,N,N,N,Y,Y,N,N,N,
59430d58,Y,Y,N,N,N,N,N,N,N,
61cf0584,N,N,N,Y,Y,Y,N,N,Y,
4a82b21b,N,N,N,Y,Y,Y,N,N,Y,
4e57b1e0,N,N,N,Y,Y,Y,N,N,N,
6f10ac97,N,N,N,Y,Y,N,N,N,N,
07bb077c,N,N,N,Y,Y,Y,N,N,N,
0dc4055b,N,N,N,Y,Y,N,N,N,N,
9deb87d6,N,Y,N,Y,N,N,Y,N,N,
28956fb2,N,N,N,Y,Y,Y,Y,N,N,
4ade7ddb,N,N,N,Y,Y,Y,N,N,N,
c9525d8e,N,N,N,N,Y,Y,N,N,N,
