CommitID,shoppingCart,users,consul,order,product,store,inventory,recommendation,payment,account,
05879845,N,N,N,Y,N,N,N,N,N,N,
1d288a97,N,N,N,N,Y,Y,Y,N,N,N,
2eb6727f,N,N,N,Y,N,N,N,N,N,N,
c2f796be,N,N,N,Y,Y,Y,Y,Y,Y,Y,
ced6f4ac,N,N,N,Y,Y,Y,N,N,Y,Y,
124b6d84,N,N,N,Y,Y,Y,N,N,Y,Y,
e6d07a3f,N,N,N,N,N,N,Y,N,N,N,
4de80032,N,N,N,Y,Y,N,N,N,Y,Y,
40853f2f,N,N,N,Y,Y,Y,Y,N,Y,Y,
28e7f94f,N,N,N,Y,Y,Y,Y,N,Y,Y,
d12141c0,N,N,N,Y,Y,Y,Y,Y,Y,Y,
5ce2f6c1,N,N,N,N,Y,Y,N,N,N,Y,
b3aa4087,N,N,N,N,Y,N,N,N,N,N,
d9632fc4,N,N,N,Y,Y,N,N,N,N,Y,
a0f64b48,N,N,N,N,Y,N,Y,N,N,Y,
5ca6f6d0,N,N,N,Y,Y,Y,Y,N,N,Y,
bccaff34,N,N,N,Y,Y,Y,Y,N,N,Y,
24753ae5,N,N,N,Y,Y,Y,Y,N,N,Y,
b77cefa3,N,N,N,N,Y,N,Y,N,N,N,
5ef1a4fb,N,N,N,Y,N,N,N,N,Y,Y,
e9b15c54,N,N,N,N,Y,Y,Y,N,N,N,
57c80380,N,N,N,N,N,N,Y,N,N,N,
d65ff1eb,N,N,N,N,N,N,N,N,Y,N,
8f349044,N,N,N,Y,Y,Y,Y,N,Y,Y,
45de70d1,N,N,N,Y,Y,Y,N,N,N,N,
d5fa8caa,N,N,N,N,N,Y,N,Y,N,N,
d9a877ff,N,N,N,Y,N,Y,N,N,Y,Y,
501948b1,N,N,N,Y,N,N,N,N,Y,N,
399834b4,N,N,N,Y,N,N,N,N,N,N,
955eca3f,N,Y,Y,N,N,N,N,N,N,N,
46406c5d,N,Y,Y,N,N,N,N,Y,N,N,
